total_area,num_rooms,wall_length,perimeter,complexity,openings,file_type,filename,total_cost,cost_cement,cost_bricks,cost_sand,cost_tiles,cost_paint,cost_adhesive,cost_fixtures,cost_mason_labor,cost_helper_labor,cost_miscellaneous,concrete_volume,steel_quantity,formwork_area,footing_count,column_count,beam_length,slab_area,structure_complexity,project_id,cost_steel,cost_binding_wire,cost_aggregate_10mm,cost_aggregate_20mm,cost_formwork_material,cost_formwork_labor,cost_concreting_labor,cost_steel_fixing_labor,cost_carpenter_labor
5000.0,10.0,500.0,400.0,10.0,30.0,architectural,1.dxf,1770303.38,148640.0,345000.0,104512.5,29379.63,24000.0,24386.25,105000.0,297280.0,320505.0,371600.0,,,,,,,,,,,,,,,,,,
943.6311523437499,3.0,276.4618359375,125.5,9.5,14.0,architectural,10.dxf,600628.6100000001,80000.0,190758.67,60000.0,5544.71,24000.0,4602.33,49000.0,56104.53,60487.7,70130.67,,,,,,,,,,,,,,,,,,
1637.1363476562499,2.0,500.0,192.5,10.0,23.0,architectural,11.dxf,931056.0399999999,80000.0,345000.0,60000.0,9619.69,24000.0,7984.72,80500.0,97337.58,104942.08,121671.97,,,,,,,,,,,,,,,,,,
4170.685644531251,10.0,500.0,323.5,10.0,30.0,architectural,12.dxf,1555294.79,123986.14,345000.0,87177.76,24506.64,24000.0,20341.48,105000.0,247972.29,267345.12,309965.36,,,,,,,,,,,,,,,,,,
5000.0,10.0,500.0,400.0,10.0,30.0,architectural,13.dxf,1770303.38,148640.0,345000.0,104512.5,29379.63,24000.0,24386.25,105000.0,297280.0,320505.0,371600.0,,,,,,,,,,,,,,,,,,
4281.88125,10.0,500.0,298.0,10.0,25.0,architectural,14.dxf,1566623.4200000002,127291.77,345000.0,89502.02,25160.01,24000.0,20883.81,87500.0,254583.53,274472.87,318229.41,,,,,,,,,,,,,,,,,,
2350.15923828125,8.0,500.0,218.5,10.0,23.0,architectural,15.dxf,1079814.1300000001,80000.0,345000.0,60000.0,13809.36,24000.0,11462.31,80500.0,139731.07,150647.56,174663.83,,,,,,,,,,,,,,,,,,
3131.5811718749997,1.0,500.0,296.0,10.0,30.0,architectural,16.dxf,1285895.85,93095.65,345000.0,65457.88,18400.94,24000.0,15273.5,105000.0,186191.29,200737.48,232739.11,,,,,,,,,,,,,,,,,,
1031.296875,3.0,302.02265625,141.0,9.76,16.0,architectural,17.dxf,643555.27,80000.0,208395.63,60000.0,6059.82,24000.0,5029.89,56000.0,61316.79,66107.16,76645.98,,,,,,,,,,,,,,,,,,
891.6813281249999,2.0,271.7505,126.0,8.24,14.0,architectural,18.dxf,586539.47,80000.0,187507.84,60000.0,5239.45,24000.0,4348.95,49000.0,53015.81,57157.66,66269.76,,,,,,,,,,,,,,,,,,
922.8172851562499,2.0,282.12730468750004,127.5,8.58,15.0,architectural,19.dxf,603695.37,80000.0,194667.84,60000.0,5422.41,24000.0,4500.81,52500.0,54867.02,59153.51,68583.78,,,,,,,,,,,,,,,,,,
4170.19052734375,10.0,500.0,323.5,10.0,30.0,architectural,2.dxf,1555166.4100000001,123971.42,345000.0,87167.41,24503.73,24000.0,20339.06,105000.0,247942.85,267313.38,309928.56,,,,,,,,,,,,,,,,,,
4473.53125,10.0,500.0,286.0,10.0,28.0,architectural,3.dxf,1626810.7300000002,132989.14,345000.0,93507.99,26286.13,24000.0,21818.53,98000.0,265978.27,286757.83,332472.84,,,,,,,,,,,,,,,,,,
1085.4507421875,2.0,350.41560937500003,137.5,9.38,16.0,architectural,4.dxf,688244.55,80000.0,241786.77,60000.0,6378.03,24000.0,5294.01,56000.0,64536.56,69578.48,80670.7,,,,,,,,,,,,,,,,,,
1061.50203125,5.0,264.14120312500006,133.0,8.98,14.0,architectural,5.dxf,616718.7799999999,80000.0,182257.43,60000.0,6237.31,24000.0,5177.21,49000.0,63112.66,68043.34,78890.83,,,,,,,,,,,,,,,,,,
750.59275390625,2.0,220.3260859375,110.5,8.1,12.0,architectural,6.dxf,514810.87,80000.0,152025.0,60000.0,4600.0,24000.0,3660.83,42000.0,44627.24,48113.75,55784.05,,,,,,,,,,,,,,,,,,
2033.58375,7.0,500.0,207.0,10.0,22.0,architectural,7.dxf,1010266.94,80000.0,345000.0,60000.0,11949.19,24000.0,9918.3,77000.0,120908.76,130354.75,151135.94,,,,,,,,,,,,,,,,,,
953.21701171875,2.0,294.3484453125,132.5,9.58,15.0,architectural,8.dxf,618470.26,80000.0,203100.43,60000.0,5601.03,24000.0,4649.08,52500.0,56674.47,61102.16,70843.09,,,,,,,,,,,,,,,,,,
1476.453125,4.0,442.93593749999997,170.0,10.0,20.0,architectural,9.dxf,847658.4800000001,80000.0,305625.8,60000.0,8675.53,24000.0,7201.03,70000.0,87784.0,94642.12,109730.0,,,,,,,,,,,,,,,,,,
,,,,,,structural,Architectural Plan.dxf,6553595.5,900000.0,,1181250.0,,,,,,,250000.0,500.0,11790.0,1509.0,11.0,39.0,500.0,2000.0,10.0,1,943200.0,5305.5,675000.0,630000.0,282937.5,679050.0,600000.0,150322.5,256530.0
,,,,,,structural,First Floor.dxf,5137525.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,3900.0,666.0,9.0,13.0,500.0,2000.0,10.0,1,312000.0,1755.0,675000.0,630000.0,124875.0,299700.0,600000.0,49725.0,113220.0
,,,,,,structural,Footing and Column Drawing.dxf,6122866.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,8715.0,1330.5,39.0,59.0,500.0,2000.0,10.0,1,697200.0,3921.75,675000.0,630000.0,249468.75,598725.0,600000.0,111116.25,226185.0
,,,,,,structural,Ground Beam.dxf,4892650.0,900000.0,,1181250.0,,,,,,,250000.0,500.0,3300.0,432.0,3.0,11.0,500.0,2000.0,10.0,1,264000.0,1485.0,675000.0,630000.0,81000.0,194400.0,600000.0,42075.0,73440.0
,,,,,,structural,Terrace Floor.dxf,4917616.75,900000.0,,1181250.0,,,,,,,250000.0,500.0,3165.0,478.5,5.0,10.0,475.4021630859375,2000.0,10.0,1,253200.0,1424.25,675000.0,630000.0,89718.75,215325.0,600000.0,40353.75,81345.0
